group,method,site,best_val_mean,best_test_mean,n_runs
a_llm_aug,LLM + enhancement,212,0.0487,0.0729,3
b_llm_noaug,LLM no enhancement,212,0.0587,0.0866,3
c_tpe_aug,TPE + enhancement,212,0.0553,0.0868,3
d_tpe_noaug,TPE no enhancement,212,0.0588,0.0785,3
e_manual_aug,Manual enhancement,212,0.0547,0.0778,1
f_random_aug,Random,212,0.0576,0.0837,3
g_llm_noctx,LLM no context,212,0.0544,0.0857,3
a_llm_aug,LLM + enhancement,213,0.0480,0.0757,3
b_llm_noaug,LLM no enhancement,213,0.0635,0.0977,3
c_tpe_aug,TPE + enhancement,213,0.0510,0.0833,3
d_tpe_noaug,TPE no enhancement,213,0.0534,0.0866,3
e_manual_aug,Manual enhancement,213,0.0559,0.0866,1
f_random_aug,Random,213,0.0575,0.0895,3
g_llm_noctx,LLM no context,213,0.0584,0.0924,3
