site,config,seed,norm_MSE,norm_MAE,raw_MSE
56,FC_NoLSTM,42,0.119534515,0.2389104,0.9733623
56,FC_NoLSTM,123,0.124984495,0.25048745,1.017741
56,FC_NoLSTM,456,0.13811864,0.2659759,1.1246915
56,FC_NoLSTM,789,0.1151271,0.23707397,0.9374727
56,FC_NoLSTM,2026,0.14619105,0.26554632,1.1904247
56,FC_NoLSTM,11,0.12215572,0.24731483,0.9947065
56,FC_NoLSTM,22,0.12065441,0.24268807,0.98248136
56,FC_NoLSTM,33,0.131942,0.25558934,1.0743954
56,FC_NoLSTM,44,0.13261908,0.2648962,1.079909
56,FC_NoLSTM,55,0.12052229,0.24338359,0.9814055
56,M5_NoLSTM,42,0.13588893,0.2679539,1.1065352
56,M5_NoLSTM,123,0.120331705,0.2379367,0.97985363
56,M5_NoLSTM,456,0.12096787,0.24328052,0.98503387
56,M5_NoLSTM,789,0.12845363,0.26112944,1.0459901
56,M5_NoLSTM,2026,0.12333644,0.25356314,1.004321
56,M5_NoLSTM,11,0.13977978,0.26427075,1.1382182
56,M5_NoLSTM,22,0.13145323,0.25286758,1.0704155
56,M5_NoLSTM,33,0.12234588,0.24520549,0.99625486
56,M5_NoLSTM,44,0.11685805,0.23816057,0.9515679
56,M5_NoLSTM,55,0.11693729,0.23717995,0.9522131
73,FC_NoLSTM,42,0.1246496,0.2491487,0.96611977
73,FC_NoLSTM,123,0.14389318,0.27371106,1.1152709
73,FC_NoLSTM,456,0.14322893,0.27129838,1.1101224
73,FC_NoLSTM,789,0.119941905,0.24024978,0.929632
73,FC_NoLSTM,2026,0.13625635,0.2628282,1.0560802
73,FC_NoLSTM,11,0.13009758,0.260075,1.0083457
73,FC_NoLSTM,22,0.128843,0.2568127,0.9986216
73,FC_NoLSTM,33,0.13458969,0.2549874,1.0431623
73,FC_NoLSTM,44,0.12954848,0.26439127,1.0040896
73,FC_NoLSTM,55,0.12169265,0.2433448,0.9432016
73,M5_NoLSTM,42,0.13661893,0.2723032,1.0588903
73,M5_NoLSTM,123,0.13201283,0.2476682,1.02319
73,M5_NoLSTM,456,0.120406024,0.24927332,0.9332294
73,M5_NoLSTM,789,0.13566895,0.269968,1.0515275
73,M5_NoLSTM,2026,0.1250834,0.25681734,0.969482
73,M5_NoLSTM,11,0.12353367,0.24740218,0.9574708
73,M5_NoLSTM,22,0.12549467,0.24910183,0.97266984
73,M5_NoLSTM,33,0.12312122,0.24863684,0.95427376
73,M5_NoLSTM,44,0.11915261,0.23983021,0.9235145
73,M5_NoLSTM,55,0.114684016,0.22847411,0.8888797
11,FC_NoLSTM,42,0.268862,0.419261,6053.5386
