site,config,seed,norm_MSE,norm_MAE,best_epoch
Zone_J1,FC,42,0.11128639,0.22059019,38
Zone_J1,FC,123,0.107257076,0.21652207,33
Zone_J1,FC,456,0.11031556,0.22353415,99
Zone_J1,FC,789,0.10352039,0.21353242,93
Zone_J1,FC,2026,0.12495429,0.23536989,40
Zone_J1,FC,11,0.11519475,0.2225613,48
Zone_J1,FC,22,0.099455066,0.20956552,35
Zone_J1,FC,33,0.115400426,0.22461773,50
Zone_J1,FC,44,0.106117584,0.21448548,38
Zone_J1,FC,55,0.10481152,0.21242483,41
Zone_J1,KANConv_base,42,0.10346891,0.21470416,27
Zone_J1,KANConv_base,123,0.10990779,0.22816707,51
Zone_J1,KANConv_base,456,0.10282379,0.21234137,42
Zone_J1,KANConv_base,789,0.10433251,0.21062231,37
Zone_J1,KANConv_base,2026,0.110274315,0.21349913,48
Zone_J1,KANConv_base,11,0.09288585,0.2042707,26
Zone_J1,KANConv_base,22,0.09759045,0.2047573,40
Zone_J1,KANConv_base,33,0.09785869,0.20603237,30
Zone_J1,KANConv_base,44,0.107875876,0.22182186,35
Zone_J1,KANConv_base,55,0.098832555,0.20881757,28
Zone_J1,KANConv_M5,42,0.10368055,0.21578343,27
Zone_J1,KANConv_M5,123,0.10948145,0.22762063,51
Zone_J1,KANConv_M5,456,0.102747396,0.21155772,42
Zone_J1,KANConv_M5,789,0.104346015,0.21025307,37
Zone_J1,KANConv_M5,2026,0.10701445,0.21370043,35
Zone_J1,KANConv_M5,11,0.09297158,0.2043038,26
Zone_J1,KANConv_M5,22,0.09676647,0.20379955,41
Zone_J1,KANConv_M5,33,0.09760905,0.20590965,30
Zone_J1,KANConv_M5,44,0.107329264,0.2229075,23
Zone_J1,KANConv_M5,55,0.09810863,0.2099855,27
Zone_J1,Shared,42,0.09897218,0.20739746,57
Zone_J1,Shared,123,0.101773255,0.2116813,33
Zone_J1,Shared,456,0.10467904,0.21780671,28
Zone_J1,Shared,789,0.101263955,0.20565069,42
Zone_J1,Shared,2026,0.10580872,0.21054667,33
Zone_J1,Shared,11,0.10203893,0.20657176,29
Zone_J1,Shared,22,0.101929404,0.2163454,32
Zone_J1,Shared,33,0.10175265,0.20648214,37
Zone_J1,Shared,44,0.09369687,0.20465688,29
