site,config,seed,norm_MSE,norm_MAE,raw_MSE,best_epoch,n_params
56,FC,42,0.1247685,0.23443319,1.0159822,17,72232
56,FC,123,0.1179684,0.22454089,0.96060944,27,72232
56,FC,456,0.109992616,0.21852411,0.8956631,20,72232
56,KANConv_M5,42,0.11150683,0.21100773,0.9079931,22,72227
56,KANConv_M5,123,0.11144692,0.21721767,0.90750545,19,72227
56,KANConv_M5,456,0.11446028,0.21040682,0.932043,46,72227
56,Shared,42,0.11358804,0.21289368,0.92494035,35,72190
56,Shared,123,0.11394638,0.20772925,0.9278583,42,72190
56,Shared,456,0.11598081,0.21376495,0.94442457,24,72190
56,Kernel,42,0.12352065,0.2285459,1.005821,20,77266
56,Kernel,123,0.13388146,0.23861483,1.0901884,38,77266
56,Kernel,456,0.1249395,0.22389773,1.0173746,26,77266
56,Frozen,42,0.1199972,0.22452784,0.9771296,21,72184
56,Frozen,123,0.10883834,0.22110356,0.88626385,19,72184
56,Frozen,456,0.10498004,0.19930905,0.8548458,18,72184
56,LinearCalib,42,0.13412769,0.25253034,1.0921935,23,72191
56,LinearCalib,123,0.124848925,0.23561855,1.016637,23,72191
56,LinearCalib,456,0.11708767,0.22094794,0.9534377,20,72191
56,FC,789,0.1219116151332855,0.2311278879642486,0.9927188158035278,21,72232
56,FC,2026,0.1568600982427597,0.2651512324810028,1.2773020267486572,39,72232
56,FC,11,0.1208600178360939,0.2247107326984405,0.9841557145118712,24,72232
56,FC,22,0.1120706796646118,0.2113571763038635,0.91258442401886,36,72232
56,FC,33,0.1159960851073265,0.2180345803499221,0.944549024105072,32,72232
56,FC,44,0.1083772629499435,0.2138004451990127,0.8825094103813171,17,72232
56,FC,55,0.1175907701253891,0.2124315351247787,0.9575342535972596,46,72232
56,KANConv_M5,789,0.1147311404347419,0.2129699885845184,0.9342485666275024,34,72227
56,KANConv_M5,2026,0.1065745577216148,0.2027509957551956,0.8678299188613892,35,72227
56,KANConv_M5,11,0.1082406863570213,0.2056950777769088,0.8813971281051636,24,72227
56,KANConv_M5,22,0.1019849553704261,0.2056729793548584,0.8304569721221924,21,72227
56,KANConv_M5,33,0.110233373939991,0.2171921730041504,0.8976234197616577,28,72227
56,KANConv_M5,44,0.1116226613521575,0.2057139426469802,0.9089365005493164,44,72227
