site,config,seed,norm_MSE
Zone_J1,FC,42,0.111286386847496
Zone_J1,FC,123,0.1072570756077766
Zone_J1,FC,456,0.1103155612945556
Zone_J1,FC_noBias,42,0.10676880180835724
Zone_J1,FC_noBias,123,0.11375787854194641
Zone_J1,FC_noBias,456,0.10388729721307755
Zone_J1,Frozen,42,0.10863710939884186
Zone_J1,Frozen,123,0.10905737429857254
Zone_J1,Frozen,456,0.11257106065750122
Zone_J1,M5,42,0.10409320145845413
Zone_J1,M5,123,0.10895285755395889
Zone_J1,M5,456,0.11321774125099182
UG3,FC,42,0.16210167109966278
UG3,FC,123,0.14752456545829773
UG3,FC,456,0.13883262872695923
UG3,FC_noBias,42,0.13574625551700592
UG3,FC_noBias,123,0.1349545121192932
UG3,FC_noBias,456,0.1347242295742035
UG3,Frozen,42,0.1608283519744873
UG3,Frozen,123,0.13406604528427124
UG3,Frozen,456,0.14185911417007446
UG3,M5,42,0.14716538786888123
UG3,M5,123,0.13044045865535736
UG3,M5,456,0.14144070446491241
SQ2,FC,42,0.089584119617939
SQ2,FC,123,0.0854673907160759
SQ2,FC,456,0.09159570187330246
SQ2,FC_noBias,42,0.09492546319961548
SQ2,FC_noBias,123,0.08387183398008347
SQ2,FC_noBias,456,0.09135818481445312
SQ2,Frozen,42,0.09542760252952576
SQ2,Frozen,123,0.09159579873085022
SQ2,Frozen,456,0.09334069490432739
SQ2,M5,42,0.09463466703891754
SQ2,M5,123,0.09258288890123367
SQ2,M5,456,0.09698333591222763
Zone_D,FC,42,0.11689330637454987
Zone_D,FC,123,0.10385828465223312
Zone_D,FC,456,0.10591818392276764
Zone_D,FC_noBias,42,0.10192611813545227
Zone_D,FC_noBias,123,0.12561340630054474
Zone_D,FC_noBias,456,0.10361151397228241
Zone_D,Frozen,42,0.11245647072792053
Zone_D,Frozen,123,0.11609113961458206
Zone_D,Frozen,456,0.1356011927127838
Zone_D,M5,42,0.10482650995254517
Zone_D,M5,123,0.10533484071493149
Zone_D,M5,456,0.11150999367237091
