site,kan_mse,fc_mse,delta_pct,gate,act_GHI,act_Temp,act_Hum,act_WS,act_WDsin,act_WDcos,act_total
Indoor,0.1617385596036911,0.14033511,1.5441088005900383,1.2348582744598389,0.063017115,0.0906472,0.03579625,0.10224771,0.10861248,0.08162711,0.4819478690624237
LSKN,0.11942235380411148,0.12539843246340748,-4.551456161991485,1.3122425079345703,0.056960925,0.08286744,0.104974866,0.031037236,0.13373463,0.20066904,0.6102441549301147
LSKS,0.1121978834271431,0.116614364,-1.5780506655573845,1.3438888788223267,0.064481065,0.059450492,0.094358236,0.017797485,0.16083643,0.2288435,0.6257672309875488
SHHo,0.40655407309532166,0.38141036100000003,0.5115041958705602,1.2886892557144165,0.10697819,0.039586518,0.026082715,0.17104135,0.11762444,0.083402276,0.5447155237197876
SQ1,0.12844346463680267,0.1301254607737064,-1.2016339722415337,1.3237537145614624,0.06932475,0.095425375,0.11828825,0.04302031,0.13732423,0.22239248,0.6857753992080688
SQ2,0.08790456503629684,0.09326417,-4.814876243472099,1.3645769357681274,0.0632523,0.09601261,0.12434494,0.05778869,0.14212437,0.20202196,0.6855448484420776
SQ3,0.058328550308942795,0.05770301,-1.045428495854139,1.2312840223312378,0.06214439,0.016257038,0.09231637,0.025724253,0.103326015,0.18546556,0.4852336049079895
SQ4,0.11924128234386444,0.11719742,-2.4444863200187683,1.1780593395233154,0.06709413,0.04643554,0.031168964,0.011187604,0.12497066,0.100990914,0.3818478286266327
SQ567,0.11054501682519913,0.115856886,-0.1635622000321746,1.2369359731674194,0.054207355,0.063789435,0.08121432,0.06451209,0.15216687,0.18798527,0.6038753390312195
SQ_A13_24,0.13766039907932281,0.13714269,-2.9750345274806023,1.27007257938385,0.05764212,0.047936212,0.07763589,0.028283698,0.1194001,0.12622051,0.45711851119995117
SQ_A1_12,0.15230610966682434,0.14489526,2.749205194413662,1.2412633895874023,0.060999632,0.04605996,0.057841834,0.054706164,0.14957847,0.096604355,0.46579039096832275
SQ_A25_36,0.13967005908489227,0.13822201,-0.8447246626019478,1.280545949935913,0.055858623,0.05526659,0.06136269,0.033678725,0.14318974,0.11625158,0.46560797095298767
SQ_A37_48,0.13573628664016724,0.13675946,0.098651391454041,1.2049459218978882,0.06713236,0.066498324,0.047633294,0.040591333,0.14244889,0.123065665,0.4873698353767395
SQ_R,0.12029306590557098,0.11790118,-0.3948262427002191,1.3430718183517456,0.079496995,0.08828728,0.058575414,0.12412365,0.094386876,0.058124688,0.5029948949813843
SQ_S,0.1293545812368393,0.13080344,-3.736721351742744,1.3294551372528076,0.06468221,0.056088585,0.05122743,0.14862947,0.11277847,0.035762705,0.46916887164115906
UG2_2F,0.10046590119600296,0.09732671,0.9186425246298312,1.1884938478469849,0.066567376,0.054014634,0.06731803,0.028738111,0.07307562,0.12229353,0.41200730204582214
UG2_RF,0.12737204134464264,0.13603322,-3.095102682709694,1.3178634643554688,0.059625812,0.12836008,0.10521881,0.093570456,0.18133812,0.19502522,0.7631385326385498
UG3,0.14251214265823364,0.14664905,-6.686189025640488,1.2174159288406372,0.055976164,0.06919944,0.04846898,0.05882344,0.13319655,0.15471646,0.5203810334205627
UG4,0.1314219832420349,0.14081013,-2.3208264261484146,1.238067388534546,0.052032277,0.042931587,0.05194623,0.06493016,0.1623923,0.18291597,0.5571485757827759
UG6,0.11053294688463211,0.11948311,-3.644360229372978,1.3138694763183594,0.055412207,0.06303151,0.102397345,0.015275091,0.15393585,0.18159632,0.5716482996940613
UG7,0.16504941880702972,0.16568272560834882,-0.4521512455571197,1.2309811115264893,0.05519361,0.07094776,0.020106873,0.026150439,0.096637614,0.13944162,0.40847790241241455
WongCS,0.12922684848308563,0.12630674,-1.2710200622677803,1.255041480064392,0.06342168,0.08492512,0.049959444,0.101615764,0.09672577,0.033453606,0.4301013946533203
Zone_A1,0.1132832020521164,0.11967047,-2.490303292870521,1.2057362794876099,0.067257896,0.07464283,0.0270058,0.037437767,0.14524718,0.1486134,0.500204861164093
Zone_A2,0.1768677532672882,0.17681974,1.353747397661209,1.2041218280792236,0.05561004,0.04403656,0.0470515,0.033083383,0.12581085,0.15971147,0.46530377864837646
Zone_A4,0.1488957703113556,0.1531694,-0.5028006620705128,1.2248786687850952,0.06528993,0.043446053,0.039193124,0.041412182,0.09855311,0.21811117,0.506005585193634
Zone_A5,0.11759030818939209,0.10280248,1.3573644682765007,1.3250207901000977,0.09223757,0.104902536,0.014492617,0.09230832,0.10005655,0.06272349,0.4667210876941681
Zone_A6,0.17285014688968658,0.14231998,4.827633500099182,1.2884594202041626,0.05990975,0.0748482,0.039063256,0.07591665,0.0816465,0.07608258,0.40746694803237915
Zone_A7,0.15836603939533234,0.12759455,4.615913704037666,1.3773071765899658,0.089830264,0.10552238,0.032766838,0.19073576,0.09436574,0.061700206,0.574921190738678
Zone_D,0.11046826094388962,0.106573306,-3.1167376786470413,1.105210781097412,0.049691252,0.050627626,0.010433501,0.06693145,0.073699825,0.033887535,0.28527119755744934
Zone_J1,0.1036805510520935,0.10983131,-7.690802961587906,1.165144681930542,0.04812848,0.024829239,0.005621444,0.08462482,0.09679657,0.0461139,0.30611446499824524
Zone_J2,0.1329222023487091,0.14491393,-0.5643079522997141,1.1877294778823853,0.0639817,0.0344112,0.061729986,0.079712816,0.100607105,0.09982599,0.4402688145637512
