site,config,seed,norm_MSE,norm_MAE,best_epoch
Indoor,FC,42,0.13324456,0.25034687,17
Indoor,FC,123,0.14459662,0.25821096,19
Indoor,FC,456,0.14363153,0.24160117,39
Indoor,FC,789,0.12678556,0.23652819,19
Indoor,FC,2026,0.15285726,0.27158257,25
Indoor,FC,11,0.14597704,0.24922088,30
Indoor,FC,22,0.14492375,0.24662133,26
Indoor,FC,33,0.13584699,0.2529825,28
Indoor,FC,44,0.1277411,0.24890123,10
Indoor,FC,55,0.14774674,0.24849421,33
Indoor,KANConv_M5,42,0.16173856,0.25695482,21
Indoor,KANConv_M5,123,0.1443807,0.24660464,31
Indoor,KANConv_M5,456,0.13153127,0.2517027,15
Indoor,KANConv_M5,789,0.13313335,0.24148595,27
Indoor,KANConv_M5,2026,0.14234626,0.25529295,13
Indoor,KANConv_M5,11,0.13287905,0.24578059,18
Indoor,KANConv_M5,22,0.14163375,0.25052816,17
Indoor,KANConv_M5,33,0.14059588,0.24796534,16
Indoor,KANConv_M5,44,0.1443803,0.24936768,19
Indoor,KANConv_M5,55,0.15240121,0.25390434,16
LSKS,FC,42,0.107196435,0.22972545,16
LSKS,FC,123,0.1156959,0.24635267,9
LSKS,FC,456,0.10657992,0.2314651,13
LSKS,FC,789,0.118855424,0.2595388,5
LSKS,FC,2026,0.11846186,0.23737374,15
LSKS,FC,11,0.11575507,0.23642136,13
LSKS,FC,22,0.12783432,0.26837242,7
LSKS,FC,33,0.113740504,0.24019791,11
LSKS,FC,44,0.12103607,0.2514124,9
LSKS,FC,55,0.12098814,0.25903153,6
LSKS,KANConv_M5,42,0.11219788,0.2242529,27
LSKS,KANConv_M5,123,0.10689213,0.22960515,24
LSKS,KANConv_M5,456,0.1120787,0.22605915,22
LSKS,KANConv_M5,789,0.12806344,0.26739874,7
LSKS,KANConv_M5,2026,0.11571592,0.23366447,23
LSKS,KANConv_M5,11,0.10846061,0.22219643,24
LSKS,KANConv_M5,22,0.107662335,0.2312073,15
LSKS,KANConv_M5,33,0.12518834,0.26276726,5
LSKS,KANConv_M5,44,0.11545461,0.23408556,15
LSKS,KANConv_M5,55,0.11602723,0.24933675,6
SQ2,FC,42,0.08958412,0.2083523,14
SQ2,FC,123,0.08546739,0.19382882,15
SQ2,FC,456,0.0915957,0.2060516,16
SQ2,FC,789,0.09403477,0.21447746,15
SQ2,FC,2026,0.09377296,0.20695457,20
SQ2,FC,11,0.091380134,0.2150307,14
SQ2,FC,22,0.09557818,0.20465049,13
SQ2,FC,33,0.10155377,0.21499918,10
SQ2,FC,44,0.092282295,0.20598982,11
SQ2,FC,55,0.09739231,0.21813512,7
SQ2,KANConv_M5,42,0.087904565,0.20933066,20
SQ2,KANConv_M5,123,0.085936144,0.19385888,33
SQ2,KANConv_M5,456,0.09681497,0.20442076,15
SQ2,KANConv_M5,789,0.08698504,0.1991655,28
SQ2,KANConv_M5,2026,0.08747842,0.19811256,21
SQ2,KANConv_M5,11,0.08396755,0.1915085,19
SQ2,KANConv_M5,22,0.08652332,0.21000777,7
SQ2,KANConv_M5,33,0.08910232,0.2059071,10
SQ2,KANConv_M5,44,0.09310427,0.2004435,36
SQ2,KANConv_M5,55,0.08991956,0.20381254,14
SQ3,FC,42,0.060402017,0.1680306,35
SQ3,FC,123,0.0553804,0.16151832,22
SQ3,FC,456,0.059810605,0.16846754,24
SQ3,FC,789,0.059616163,0.16373509,27
SQ3,FC,2026,0.053806074,0.15597667,29
SQ3,FC,11,0.053587098,0.163546,26
SQ3,FC,22,0.057951793,0.16157953,39
SQ3,FC,33,0.056718495,0.16343182,20
SQ3,FC,44,0.057485804,0.1613473,26
SQ3,FC,55,0.062271688,0.17420353,19
SQ3,KANConv_M5,42,0.05832855,0.16110626,35
SQ3,KANConv_M5,123,0.053981867,0.15534985,43
SQ3,KANConv_M5,456,0.05452206,0.15075232,18
SQ3,KANConv_M5,789,0.05854993,0.16864213,38
SQ3,KANConv_M5,2026,0.055916704,0.16499847,30
SQ3,KANConv_M5,11,0.062003855,0.17488648,18
SQ3,KANConv_M5,22,0.059577595,0.16473532,23
SQ3,KANConv_M5,33,0.057960816,0.16230658,35
SQ3,KANConv_M5,44,0.05553702,0.15915123,46
SQ3,KANConv_M5,55,0.05461924,0.15913971,40
SQ4,FC,42,0.11831153,0.23224044,17
SQ4,FC,123,0.10499932,0.23173021,11
SQ4,FC,456,0.11818834,0.24909669,9
SQ4,FC,789,0.12048822,0.23676799,16
SQ4,FC,2026,0.11921036,0.25277415,7
SQ4,FC,11,0.10884153,0.24038596,9
SQ4,FC,22,0.12106134,0.25719017,8
SQ4,FC,33,0.12002122,0.238742,9
SQ4,FC,44,0.123944186,0.25944135,7
SQ4,FC,55,0.11690817,0.24322048,7
SQ4,KANConv_M5,42,0.11924128,0.25394607,6
SQ4,KANConv_M5,123,0.10474687,0.2274133,16
SQ4,KANConv_M5,456,0.114064895,0.23188226,10
SQ4,KANConv_M5,789,0.11175107,0.24491248,9
SQ4,KANConv_M5,2026,0.12150821,0.2493064,7
SQ4,KANConv_M5,11,0.11320597,0.23166806,13
SQ4,KANConv_M5,22,0.10998502,0.24154912,6
SQ4,KANConv_M5,33,0.115878426,0.24194309,8
SQ4,KANConv_M5,44,0.119372495,0.24057785,14
SQ4,KANConv_M5,55,0.113571174,0.2322793,13
SQ567,FC,42,0.116594404,0.23856671,23
SQ567,FC,123,0.11328422,0.24955985,9
SQ567,FC,456,0.11454189,0.24460635,13
SQ567,FC,789,0.10256836,0.22996642,15
SQ567,FC,2026,0.11634589,0.24240059,21
SQ567,FC,11,0.121988125,0.2541506,12
SQ567,FC,22,0.12081449,0.2448696,14
SQ567,FC,33,0.11154235,0.238181,20
SQ567,FC,44,0.12206511,0.24901848,16
SQ567,FC,55,0.118824035,0.24198733,25
SQ567,KANConv_M5,42,0.11054502,0.23428242,14
SQ567,KANConv_M5,123,0.10957099,0.2321692,26
SQ567,KANConv_M5,456,0.122055024,0.24616173,11
SQ567,KANConv_M5,789,0.1069758,0.2333491,13
SQ567,KANConv_M5,2026,0.1247316,0.24083528,15
SQ567,KANConv_M5,11,0.109107345,0.22641064,22
SQ567,KANConv_M5,22,0.12621668,0.260659,8
SQ567,KANConv_M5,33,0.1128026,0.24083254,13
SQ567,KANConv_M5,44,0.11820728,0.23677978,18
SQ567,KANConv_M5,55,0.11646166,0.24120896,12
SQ_A13_24,FC,42,0.1406759,0.27606675,9
SQ_A13_24,FC,123,0.14561008,0.27546075,13
SQ_A13_24,FC,456,0.13735574,0.26159358,21
SQ_A13_24,FC,789,0.12887833,0.25609857,20
SQ_A13_24,FC,2026,0.12883666,0.25873065,12
SQ_A13_24,FC,11,0.12422419,0.25006637,16
SQ_A13_24,FC,22,0.13943113,0.2640096,22
SQ_A13_24,FC,33,0.1384391,0.2666261,22
SQ_A13_24,FC,44,0.1434905,0.26787773,16
SQ_A13_24,FC,55,0.14448512,0.27964982,20
SQ_A13_24,KANConv_M5,42,0.13768826,0.26401815,26
SQ_A13_24,KANConv_M5,123,0.1240311,0.25270653,12
SQ_A13_24,KANConv_M5,456,0.13848189,0.26841894,12
SQ_A13_24,KANConv_M5,789,0.13111325,0.25000834,21
SQ_A13_24,KANConv_M5,2026,0.13821812,0.26211232,34
SQ_A13_24,KANConv_M5,11,0.12138764,0.24943307,13
SQ_A13_24,KANConv_M5,22,0.12800892,0.26114896,17
