site,config,seed,norm_MSE,norm_MAE,best_epoch,n_params
Zone_J1,Shared,42,0.09897218,0.20739746,57,72046
Zone_J1,Shared,123,0.101773255,0.2116813,33,72046
Zone_J1,Shared,456,0.10467904,0.21780671,28,72046
Zone_J1,Kernel,42,0.11429868,0.22623476,43,76396
Zone_J1,Kernel,123,0.11304853,0.226753,42,76396
Zone_J1,Kernel,456,0.117620975,0.23626861,65,76396
Zone_J1,Frozen,42,0.105677135,0.22007059,37,72040
Zone_J1,Frozen,123,0.11043831,0.22721046,54,72040
Zone_J1,Frozen,456,0.1021096,0.21197101,43,72040
Zone_J1,LinearCalib,42,0.09384884,0.2019911,41,72046
Zone_J1,LinearCalib,123,0.12117624,0.235855,23,72046
Zone_J1,LinearCalib,456,0.11053407,0.22306769,40,72046
Zone_J1,MLPConv,42,0.098673366,0.20913695,33,72190
Zone_J1,MLPConv,123,0.10305832,0.21661411,34,72190
Zone_J1,MLPConv,456,0.10746931,0.21932983,29,72190
Zone_J1,Shared,789,0.10126395523548126,0.2056506872177124,42,72046
Zone_J1,Shared,2026,0.10580871999263763,0.21054667234420776,33,72046
Zone_J1,Shared,11,0.1020389273762703,0.2065717577934265,29,72046
Zone_J1,Shared,22,0.10190417617559433,0.21631132066249847,32,72046
Zone_J1,Shared,33,0.10175265371799469,0.2064821422100067,37,72046
Zone_J1,Shared,44,0.09369686990976334,0.20465688407421112,29,72046
Zone_J1,Shared,55,0.10096602886915207,0.20730794966220856,35,72046
Zone_J1,Kernel,789,0.11648115515708923,0.23146353662014008,16,76396
Zone_J1,Kernel,2026,0.11201885342597961,0.21637849509716034,38,76396
Zone_J1,Kernel,11,0.10891060531139374,0.21866843104362488,22,76396
Zone_J1,Kernel,22,0.11077863723039627,0.22598975896835327,18,76396
Zone_J1,Kernel,33,0.1058710440993309,0.22101062536239624,20,76396
Zone_J1,Kernel,44,0.1148621067404747,0.21962793171405792,46,76396
Zone_J1,Kernel,55,0.13465164601802826,0.25534701347351074,40,76396
Zone_J1,Frozen,789,0.10470674932003021,0.2144109606742859,37,72040
Zone_J1,Frozen,2026,0.10982156544923782,0.2133023887872696,53,72040
Zone_J1,Frozen,11,0.09683287143707275,0.20712360739707947,28,72040
Zone_J1,Frozen,22,0.10078136622905731,0.20940881967544556,50,72040
Zone_J1,Frozen,33,0.102420873939991,0.20990866422653198,44,72040
Zone_J1,Frozen,44,0.11117328703403473,0.2248181402683258,37,72040
Zone_J1,Frozen,55,0.09679099917411804,0.2071649730205536,28,72040
Zone_J1,LinearCalib,789,0.10350585728883743,0.2137208729982376,48,72046
Zone_J1,LinearCalib,2026,0.11995645612478256,0.2301495373249054,37,72046
Zone_J1,LinearCalib,11,0.11046688258647919,0.2138700783252716,75,72046
Zone_J1,LinearCalib,22,0.10685031116008759,0.2191094607114792,33,72046
Zone_J1,LinearCalib,33,0.10844795405864716,0.21633316576480865,47,72046
Zone_J1,LinearCalib,44,0.10278834402561188,0.21328404545783997,38,72046
Zone_J1,LinearCalib,55,0.10380531847476959,0.20803961157798767,41,72046
Zone_J1,MLPConv,789,0.10399959236383438,0.2093818336725235,30,72190
Zone_J1,MLPConv,2026,0.11204372346401215,0.2232273668050766,34,72190
Zone_J1,MLPConv,11,0.10279826819896698,0.21197253465652466,39,72190
Zone_J1,MLPConv,22,0.10395403206348419,0.21524952352046967,29,72190
Zone_J1,MLPConv,33,0.10369055718183517,0.2198866903781891,40,72190
Zone_J1,MLPConv,44,0.11109621077775955,0.22275163233280182,63,72190
Zone_J1,MLPConv,55,0.11734052002429962,0.22343884408473969,39,72190
UG3,Shared,42,0.12877416610717773,0.24133315682411194,18,72046
UG3,Shared,123,0.14417040348052979,0.2704634666442871,10,72046
UG3,Shared,456,0.13917633891105652,0.2626834511756897,10,72046
UG3,Shared,789,0.1357775628566742,0.2520741820335388,14,72046
UG3,Shared,2026,0.14499366283416748,0.2660902142524719,10,72046
UG3,Shared,11,0.14076857268810272,0.2653418481349945,10,72046
UG3,Shared,22,0.15321965515613556,0.2808651924133301,10,72046
UG3,Shared,33,0.1287209689617157,0.2402060627937317,24,72046
UG3,Shared,44,0.13529625535011292,0.25362178683280945,15,72046
UG3,Shared,55,0.13036993145942688,0.23964786529541016,20,72046
UG3,Kernel,42,0.14212271571159363,0.25747624039649963,10,76396
UG3,Kernel,123,0.1320018470287323,0.2465001940727234,10,76396
UG3,Kernel,456,0.14548394083976746,0.26610276103019714,6,76396
UG3,Kernel,789,0.13526588678359985,0.2455325722694397,12,76396
UG3,Kernel,2026,0.14419794082641602,0.26764824986457825,6,76396
UG3,Kernel,11,0.1354144960641861,0.2456936091184616,9,76396
UG3,Kernel,22,0.13527125120162964,0.2486397922039032,12,76396
UG3,Kernel,33,0.13392645120620728,0.2578606605529785,7,76396
UG3,Kernel,44,0.1319323629140854,0.2450374811887741,18,76396
UG3,Kernel,55,0.15082192420959473,0.27189576625823975,7,76396
UG3,Frozen,42,0.14050869643688202,0.26043954491615295,13,72040
UG3,Frozen,123,0.1295357048511505,0.24231065809726715,23,72040
UG3,Frozen,456,0.1416786164045334,0.2570250928401947,12,72040
UG3,Frozen,789,0.1479884833097458,0.2622705101966858,15,72040
UG3,Frozen,2026,0.1415291279554367,0.2686997652053833,11,72040
UG3,Frozen,11,0.14322160184383392,0.25951170921325684,18,72040
UG3,Frozen,22,0.14024142920970917,0.2651014029979706,13,72040
UG3,Frozen,33,0.14575502276420593,0.27269884943962097,9,72040
UG3,Frozen,44,0.1511489599943161,0.2731923460960388,15,72040
UG3,Frozen,55,0.14242972433567047,0.26399582624435425,11,72040
