model,seed,MSE,MAE,val_loss,best_epoch,time_s,n_params
FC,42,187572.08,317.45004,0.382677724308772,6,31.19582343101501,
KANConv_M5,42,150706.67,296.95688,0.2943859194355432,14,240.89305543899536,
FC,123,188962.390625,318.7096252441406,0.3764962204247243,6,30.28218150138855,
FC,456,181518.015625,314.7265319824219,0.3976798698729145,5,26.366719484329224,
FC,789,156643.828125,304.235595703125,0.2967562696159074,15,42.832255125045776,
FC,2026,142305.03125,278.1018981933594,0.2948827194490643,15,42.656063079833984,
FC,11,189759.90625,316.19549560546875,0.358299033874969,6,27.904616117477417,
FC,22,141058.140625,275.7490539550781,0.312545580066717,11,36.20885848999024,
FC,33,204260.84375,336.9860534667969,0.3319969837221813,15,42.70906972885132,
FC,44,163428.0625,300.91754150390625,0.3544626360059912,5,26.39706015586853,
FC,55,171357.453125,302.4710998535156,0.3329908037411301,7,30.01076579093933,
KANConv_M5,123,139342.28125,274.94464111328125,0.269437368735906,15,250.513254404068,
KANConv_M5,456,142032.546875,286.3724975585937,0.3187288882604532,7,173.5914285182953,
KANConv_M5,789,151263.8125,292.787109375,0.3434208296826961,14,241.2088434696197,
KANConv_M5,2026,124221.265625,261.3939208984375,0.2711131787074477,11,212.1778676509857,
KANConv_M5,11,139875.796875,284.5694580078125,0.3381596700250162,7,173.63600635528564,
KANConv_M5,22,141944.71875,289.5942077636719,0.3193943017288713,7,173.68033909797668,
KANConv_M5,33,146422.921875,288.9757080078125,0.3094040584112943,6,163.98594784736633,
KANConv_M5,44,153916.234375,293.8694763183594,0.2997862012228379,29,385.67406582832336,
KANConv_M5,55,131683.1875,270.454345703125,0.2599532017572445,37,462.5413517951965,
Shared,42,160061.421875,299.5741577148437,0.3418851639570122,12,219.05074667930603,122086.0
Kernel,42,145124.375,281.6181030273437,0.3102576488200046,7,1204.531405210495,355126.0
LinearCalib,42,213876.40625,337.611083984375,0.4037843286427037,4,26.91902017593384,122401.0
Shared,123,145617.59375,284.31951904296875,0.3122316202154671,8,181.98637175559998,122086.0
Shared,456,139981.859375,281.8098449707031,0.3219996226322764,7,170.10941433906555,122086.0
Shared,789,155673.390625,292.8683166503906,0.3110208812196172,12,216.86605167388916,122086.0
Shared,2026,165128.21875,302.2591247558594,0.35828690442377087,6,160.51882696151733,122086.0
Shared,11,158487.984375,303.7873229980469,0.34381222630900915,6,160.4612832069397,122086.0
Shared,22,147726.484375,285.4336853027344,0.2864940721153837,17,265.14314341545105,122086.0
Shared,33,139271.21875,279.36083984375,0.3030150470673474,14,235.9568474292755,122086.0
Shared,44,149196.890625,290.9839172363281,0.3233659933042075,9,188.6832628250122,122086.0
Shared,55,127166.6640625,267.23504638671875,0.27167254009457414,17,264.25717282295227,122086.0
Kernel,123,148289.125,285.97564697265625,0.2947645268229656,8,1274.6347029209137,355126.0
Kernel,456,136855.71875,275.25726318359375,0.31904576009004276,7,1202.8093342781067,355126.0
Kernel,789,146354.140625,289.85467529296875,0.3066910542900254,6,1136.3600351810455,355126.0
Kernel,2026,160369.25,299.6615295410156,0.3138574820587688,5,1069.651743888855,355126.0
Kernel,11,152682.234375,290.7339172363281,0.3399480026603121,7,1203.6169033050537,355126.0
Kernel,22,157586.0625,294.3558654785156,0.35221873416509536,6,1136.6527364253998,355126.0
Kernel,33,156298.984375,290.7828369140625,0.3396332119165535,5,1069.791799545288,355126.0
Kernel,44,171719.140625,303.52813720703125,0.33819070524221717,7,1205.3160660266876,355126.0
Kernel,55,158286.25,292.07061767578125,0.31717365792121044,9,1337.0871000289917,355126.0
LinearCalib,123,187440.734375,327.9853820800781,0.43269414142103224,3,25.361549139022827,122401.0
LinearCalib,456,177019.359375,314.6234436035156,0.4150126382755556,3,25.16673731803894,122401.0
LinearCalib,789,249829.9375,360.0074462890625,0.3629369165995144,11,39.574063539505005,122401.0
LinearCalib,2026,182651.65625,309.86212158203125,0.3781016264052045,7,32.22946310043335,122401.0
LinearCalib,11,184055.40625,306.36663818359375,0.3598945823377615,23,61.38710069656372,122401.0
LinearCalib,22,157528.125,300.28460693359375,0.40355240602974635,3,25.226933479309082,122401.0
LinearCalib,33,185033.34375,310.8512268066406,0.3143747905827471,16,48.57857418060303,122401.0
LinearCalib,44,212888.453125,332.40704345703125,0.3975805704149914,7,32.215033292770386,122401.0
LinearCalib,55,167869.859375,302.5526428222656,0.30614595101082737,14,44.737799644470215,122401.0
