site,config,seed,val_mse,test_mse
212,none,42,0.07018493860960007,0.09038185328245163
212,none,123,0.0658886581659317,0.09193515032529831
212,none,456,0.07464726269245148,0.09022142738103867
212,none,789,0.058480411767959595,0.07359438389539719
212,none,2026,0.08327539265155792,0.1146213486790657
212,none,11,0.06882625818252563,0.09352564811706543
212,none,22,0.06229761987924576,0.08700218051671982
212,none,33,0.06987787038087845,0.1024092435836792
212,none,44,0.059695739299058914,0.08257611095905304
212,none,55,0.07318045943975449,0.08976287394762039
212,mixup_s05_append,42,0.058098990470170975,0.08916876465082169
212,mixup_s05_append,123,0.06387601047754288,0.09208311140537262
212,mixup_s05_append,456,0.06064089387655258,0.09211164712905884
212,mixup_s05_append,789,0.053734760731458664,0.08181236684322357
212,mixup_s05_append,2026,0.06825322657823563,0.09880545735359192
212,mixup_s05_append,11,0.05412919446825981,0.07964792847633362
212,mixup_s05_append,22,0.04931076988577843,0.08299155533313751
212,mixup_s05_append,33,0.06237150728702545,0.09369988739490509
212,mixup_s05_append,44,0.057084668427705765,0.08609966933727264
212,mixup_s05_append,55,0.06821848452091217,0.09211812913417816
212,mixup_s05_rep25,42,0.08666229248046875,0.12787026166915894
212,mixup_s05_rep25,123,0.08321180939674377,0.11801507323980331
212,mixup_s05_rep25,456,0.08094536513090134,0.12488166987895966
212,mixup_s05_rep25,789,0.06900697201490402,0.10463276505470276
212,mixup_s05_rep25,2026,0.0985441654920578,0.1327356994152069
212,mixup_s05_rep25,11,0.07758123427629471,0.1220824271440506
212,mixup_s05_rep25,22,0.07317755371332169,0.11194802075624466
212,mixup_s05_rep25,33,0.08420766144990921,0.12759822607040405
212,mixup_s05_rep25,44,0.0759718045592308,0.11212050169706345
212,mixup_s05_rep25,55,0.09987317770719528,0.13226671516895294
212,jitter_append,42,0.05516275018453598,0.09649566560983658
212,jitter_append,123,0.06316788494586945,0.09002438932657242
212,jitter_append,456,0.0771135687828064,0.08988326787948608
212,jitter_append,789,0.060742489993572235,0.07814949005842209
212,jitter_append,2026,0.08420751988887787,0.11265499889850616
212,jitter_append,11,0.06694519519805908,0.08628854155540466
212,jitter_append,22,0.06774494796991348,0.08810428529977798
212,jitter_append,33,0.06066923215985298,0.10169238597154617
212,jitter_append,44,0.06202949211001396,0.08951662480831146
212,jitter_append,55,0.07032030820846558,0.0900319442152977
213,none,42,0.06357963383197784,0.1011405885219574
213,none,123,0.06372656673192978,0.09858085215091705
213,none,456,0.07756797969341278,0.09423721581697464
213,none,789,0.05207601189613342,0.08377902209758759
213,none,2026,0.07794859260320663,0.11000972986221313
213,none,11,0.06669789552688599,0.09771952033042908
213,none,22,0.06787899881601334,0.09080279618501663
213,none,33,0.07475601136684418,0.10581555962562561
213,none,44,0.0665113627910614,0.08398157358169556
213,none,55,0.06895740330219269,0.09909024089574814
213,mixup_s05_append,42,0.05615473911166191,0.09617283940315247
213,mixup_s05_append,123,0.06554887443780899,0.09624610096216202
213,mixup_s05_append,456,0.06479310244321823,0.09088627249002457
213,mixup_s05_append,789,0.049438755959272385,0.08950379490852356
213,mixup_s05_append,2026,0.07358721643686295,0.09924028813838959
213,mixup_s05_append,11,0.058864984661340714,0.08461581915616989
213,mixup_s05_append,22,0.05299365147948265,0.08304125815629959
213,mixup_s05_append,33,0.05475151166319847,0.08971663564443588
213,mixup_s05_append,44,0.06503413617610931,0.0938633531332016
213,mixup_s05_append,55,0.0673302710056305,0.09114842861890793
213,mixup_s05_rep25,42,0.07485166192054749,0.11284136027097702
213,mixup_s05_rep25,123,0.07722287625074387,0.09794777631759644
213,mixup_s05_rep25,456,0.08252639323472977,0.10958292335271835
213,mixup_s05_rep25,789,0.06177552416920662,0.10527552664279938
213,mixup_s05_rep25,2026,0.08931343257427216,0.12956014275550842
213,mixup_s05_rep25,11,0.07095979154109955,0.10527803003787994
213,mixup_s05_rep25,22,0.07782778888940811,0.1066930741071701
213,mixup_s05_rep25,33,0.08658488839864731,0.12488029897212982
213,mixup_s05_rep25,44,0.08781564980745316,0.10971939563751221
213,mixup_s05_rep25,55,0.09648451954126358,0.13551943004131317
213,jitter_append,42,0.06185188516974449,0.0996839851140976
213,jitter_append,123,0.06663109362125397,0.0985676497220993
213,jitter_append,456,0.07311670482158661,0.0914745107293129
213,jitter_append,789,0.050145070999860764,0.0814233124256134
213,jitter_append,2026,0.08060388267040253,0.11454790085554123
213,jitter_append,11,0.06752744317054749,0.09505698084831238
213,jitter_append,22,0.06551145762205124,0.09047623723745346
213,jitter_append,33,0.07212048023939133,0.10351777076721191
213,jitter_append,44,0.06243410333991051,0.08306043595075607
213,jitter_append,55,0.06633823364973068,0.09640614688396454
