site,config,seed,val_mse,test_mse
212,none,42,0.07018493860960007,0.09038185328245163
212,none,123,0.0658886581659317,0.09193515032529831
212,none,456,0.07464726269245148,0.09022142738103867
212,none,789,0.058480411767959595,0.07359438389539719
212,none,2026,0.08327539265155792,0.1146213486790657
212,mixup_s05_append,42,0.058098990470170975,0.08916876465082169
212,mixup_s05_append,123,0.06387601047754288,0.09208311140537262
212,mixup_s05_append,456,0.06064089387655258,0.09211164712905884
212,mixup_s05_append,789,0.05372101068496704,0.08180361241102219
212,mixup_s05_append,2026,0.06825322657823563,0.09880545735359192
212,mixup_s05_rep25,42,0.07018493860960007,0.09038185328245163
212,mixup_s05_rep25,123,0.0658886581659317,0.09193515032529831
212,mixup_s05_rep25,456,0.07464726269245148,0.09022142738103867
212,mixup_s05_rep25,789,0.05851505696773529,0.07360471785068512
212,mixup_s05_rep25,2026,0.08327539265155792,0.1146213486790657
212,mixup_s02_rep25,42,0.07018493860960007,0.09038185328245163
212,mixup_s02_rep25,123,0.0658886581659317,0.09193515032529831
212,mixup_s02_rep25,456,0.07464726269245148,0.09022142738103867
212,mixup_s02_rep25,789,0.058480411767959595,0.07359438389539719
212,mixup_s02_rep25,2026,0.08327539265155792,0.1146213486790657
212,jitter_append,42,0.05516275018453598,0.09649566560983658
212,jitter_append,123,0.06316788494586945,0.09002438932657242
212,jitter_append,456,0.07711482048034668,0.08988272398710251
212,jitter_append,789,0.060742489993572235,0.07814949005842209
212,jitter_append,2026,0.08421440422534943,0.11266840249300003
213,none,42,0.0634138211607933,0.10138803720474243
213,none,123,0.06372656673192978,0.09858088195323944
213,none,456,0.07758273929357529,0.09421958774328232
213,none,789,0.05207601189613342,0.08377902209758759
213,none,2026,0.07794859260320663,0.11000972986221313
213,mixup_s05_append,42,0.05615473911166191,0.09617283940315247
213,mixup_s05_append,123,0.06554887443780899,0.09624610096216202
213,mixup_s05_append,456,0.06479310244321823,0.09088627249002457
213,mixup_s05_append,789,0.049438755959272385,0.08950379490852356
213,mixup_s05_append,2026,0.07357943803071976,0.09924308955669403
213,mixup_s05_rep25,42,0.06341380625963211,0.10139086842536926
213,mixup_s05_rep25,123,0.06372656673192978,0.09858088195323944
213,mixup_s05_rep25,456,0.07756797969341278,0.09423721581697464
213,mixup_s05_rep25,789,0.05207601189613342,0.08377902209758759
213,mixup_s05_rep25,2026,0.07795096188783646,0.10999470204114914
213,mixup_s02_rep25,42,0.06357963383197784,0.1011405885219574
213,mixup_s02_rep25,123,0.06372656673192978,0.09858085215091705
213,mixup_s02_rep25,456,0.07756797969341278,0.09423721581697464
213,mixup_s02_rep25,789,0.05207601189613342,0.08377902209758759
213,mixup_s02_rep25,2026,0.07794859260320663,0.11000972986221313
213,jitter_append,42,0.06185188516974449,0.0996839851140976
213,jitter_append,123,0.06663109362125397,0.0985676497220993
213,jitter_append,456,0.07311670482158661,0.0914745107293129
213,jitter_append,789,0.050145070999860764,0.0814233124256134
213,jitter_append,2026,0.08060149103403091,0.11454974114894867
