site,group,space,trial,objective,test_mse_median,hash,learning_rate,hidden_dim,num_layers,out_channels,dropout,use_mixup,use_mixup_phys,use_mixup_temporal,use_jitter,sigma_mixup,sigma_phys,sigma_temporal,sigma_jitter,augmentation_factor
212,a_llm_aug,small,1,0.06758587062358856,0.09116404503583908,ceaa21670be735c0,0.001,64,2,64,0.2,False,True,True,True,0.2,0.2,0.2,0.05,2.0
212,a_llm_aug,small,2,0.0698276236653328,0.09930526465177536,7e869eeec0a614ca,0.0005,128,2,128,0.3,True,False,False,True,0.5,0.2,0.2,0.1,2.5
212,a_llm_aug,small,3,0.06280114501714706,0.10148868709802628,59aedad45f4e53a6,0.002,96,2,96,0.2,False,True,True,True,0.2,0.3,0.3,0.05,2.0
212,a_llm_aug,small,4,0.07126346230506897,0.10392605513334274,c7d3224416b98b8a,0.003,128,3,128,0.4,False,True,True,True,0.2,0.4,0.4,0.05,2.0
212,a_llm_aug,small,5,0.05828801542520523,0.08948780596256256,9145bde3de07a05d,0.001,112,2,112,0.2,True,True,True,True,0.2,0.2,0.2,0.05,2.5
212,a_llm_aug,small,6,0.05010421574115753,0.07602382451295853,162623312d86f40f,0.001,128,2,128,0.3,True,True,True,True,0.2,0.3,0.3,0.1,3.0
212,a_llm_aug,small,7,0.048978064209222794,0.07255318760871887,3b77e50f9dc8cfeb,0.0015,144,2,144,0.35,True,True,True,True,0.15,0.25,0.25,0.15,3.0
212,a_llm_aug,small,8,0.05459265410900116,0.07796893268823624,20f6c245dec6ac63,0.002,176,2,176,0.4,True,True,True,True,0.1,0.3,0.3,0.2,3.0
212,a_llm_aug,small,9,0.05254407227039337,0.07827802747488022,cbddfa9a016037cc,0.002,160,2,160,0.4,True,True,True,True,0.1,0.3,0.3,0.2,3.0
212,a_llm_aug,small,10,0.05262704938650131,0.07283509522676468,8ed8bc82d559db76,0.001,128,2,128,0.4,True,True,True,True,0.25,0.3,0.3,0.1,3.0
