site,group,space,trial,objective,test_mse_median,hash,learning_rate,hidden_dim,num_layers,out_channels,dropout,use_mixup,use_mixup_phys,use_mixup_temporal,use_jitter,sigma_mixup,sigma_phys,sigma_temporal,sigma_jitter,augmentation_factor
212,b_llm_noaug,small,1,0.06899971514940262,0.09405461698770523,2d4e5450472646a0,0.001,64,2,64,0.2,False,False,False,False,0.01,0.01,0.01,0.01,1.0
212,b_llm_noaug,small,2,0.06367361545562744,0.09261088818311691,eae5166b1b87499f,0.005,96,2,96,0.3,False,False,False,False,0.01,0.01,0.01,0.01,1.0
212,b_llm_noaug,small,3,0.057843517512083054,0.0838465467095375,b553cf2f9a360c94,0.005,128,2,128,0.3,False,False,False,False,0.01,0.01,0.01,0.01,1.0
212,b_llm_noaug,small,4,0.06506600230932236,0.07957270741462708,e2315296211404be,0.01,160,2,160,0.3,False,False,False,False,0.01,0.01,0.01,0.01,1.0
212,b_llm_noaug,small,5,0.06272672861814499,0.0810023844242096,7f7802a7bc3639ab,0.005,144,2,144,0.4,False,False,False,False,0.01,0.01,0.01,0.01,1.0
212,b_llm_noaug,small,6,0.05881728604435921,0.07327205687761307,ef3f3d83052cb807,0.008,128,1,128,0.3,False,False,False,False,0.01,0.01,0.01,0.01,1.0
212,b_llm_noaug,small,7,0.060870226472616196,0.07817558199167252,09608904ccfbb46d,0.005,144,2,144,0.3,False,False,False,False,0.01,0.01,0.01,0.01,1.0
212,b_llm_noaug,small,8,0.05526897311210632,0.08538306504487991,963b1e65dc639244,0.005,128,2,128,0.25,False,False,False,False,0.01,0.01,0.01,0.01,1.0
212,b_llm_noaug,small,9,0.08321116119623184,0.11350780725479126,12b9b9111e4ef6ce,0.0005753773794117188,208,3,176,0.6237528002182154,False,False,False,False,0.01,0.01,0.01,0.01,1.0
212,b_llm_noaug,small,10,0.05709807947278023,0.07882881164550781,5074f7ec16564c22,0.003,144,2,144,0.3,False,False,False,False,0.01,0.01,0.01,0.01,1.0
