site,group,space,trial,objective,test_mse_median,hash,learning_rate,hidden_dim,num_layers,out_channels,dropout,use_mixup,use_mixup_phys,use_mixup_temporal,use_jitter,sigma_mixup,sigma_phys,sigma_temporal,sigma_jitter,augmentation_factor
213,b_llm_noaug,small,1,0.06719498336315155,0.10342312604188919,0460508786003f9e,0.001,96,2,96,0.3,False,False,False,False,0.01,0.01,0.01,0.01,1.0
213,b_llm_noaug,small,2,0.0632922351360321,0.09402725100517273,57deb42424e3c60b,0.01,32,1,32,0.5,False,False,False,False,0.01,0.01,0.01,0.01,1.0
213,b_llm_noaug,small,3,0.06474347412586212,0.09198667854070663,8b568b572d49c5fe,0.01,64,2,64,0.4,False,False,False,False,0.01,0.01,0.01,0.01,1.0
213,b_llm_noaug,small,4,0.060914210975170135,0.0953349694609642,0c8bf16951855dad,0.005,64,2,64,0.4,False,False,False,False,0.01,0.01,0.01,0.01,1.0
213,b_llm_noaug,small,5,0.0615372434258461,0.09729181230068207,c27b3a35f81b181d,0.005,96,2,96,0.5,False,False,False,False,0.01,0.01,0.01,0.01,1.0
213,b_llm_noaug,small,6,0.05972801893949509,0.09141331911087036,000ba45e4d23df9f,0.003,128,2,128,0.5,False,False,False,False,0.01,0.01,0.01,0.01,1.0
213,b_llm_noaug,small,7,0.05694487690925598,0.09068267792463303,4e8a90f193717b11,0.005,128,2,128,0.4,False,False,False,False,0.01,0.01,0.01,0.01,1.0
213,b_llm_noaug,small,8,0.06223713979125023,0.08950601518154144,d62261e771baf0a0,0.005,112,2,112,0.3,False,False,False,False,0.01,0.01,0.01,0.01,1.0
213,b_llm_noaug,small,9,0.05596116930246353,0.08625301718711853,5074f7ec16564c22,0.003,144,2,144,0.3,False,False,False,False,0.01,0.01,0.01,0.01,1.0
213,b_llm_noaug,small,10,0.060708750039339066,0.08980167657136917,3bc886b833060736,0.003,160,2,160,0.3,False,False,False,False,0.01,0.01,0.01,0.01,1.0
