site,group,space,trial,objective,test_mse_median,hash,learning_rate,hidden_dim,num_layers,out_channels,dropout,use_mixup,use_mixup_phys,use_mixup_temporal,use_jitter,sigma_mixup,sigma_phys,sigma_temporal,sigma_jitter,augmentation_factor
212,c_tpe_aug,small,1,0.06048056483268738,0.08873745799064636,c1490d22a6061b41,0.0005753773794117186,176,1,240,0.24369101533869655,False,True,True,True,0.334636,0.162738,0.264833,0.277888,1.7773
212,c_tpe_aug,small,2,0.5735430717468262,0.5461699962615967,6c065fa3242c8fb8,0.35978999513749854,32,3,176,0.5836849426704512,False,True,False,False,0.25196,0.266139,0.219495,0.022455,1.6618
212,c_tpe_aug,small,3,0.4731622338294983,0.4899047613143921,acc269558b60d744,1.4050274230636843e-05,192,2,240,0.4150324973946929,True,True,False,True,0.028075,0.308687,0.256313,0.035225,1.918
212,c_tpe_aug,small,4,0.5674455165863037,0.5429427623748779,b2e56993986ec23b,0.18531652767614745,64,3,144,0.6537777601609727,True,True,False,True,0.181113,0.365718,0.449584,0.444672,2.6698
212,c_tpe_aug,small,5,0.07156475633382797,0.10248643159866333,1073c382edfd7776,0.010396506923366902,48,3,112,0.22461788995268464,False,False,True,True,0.464876,0.21981,0.483661,0.482174,2.7795
212,c_tpe_aug,small,6,0.3928832411766052,0.39228078722953796,c17aef519bbcbe7d,9.45354528903884e-05,176,1,16,0.019144432410944406,False,False,True,False,0.447373,0.023954,0.025223,0.256607,2.1515
212,c_tpe_aug,small,7,0.0552728995680809,0.08200366050004959,ed833cafcefe3578,0.0011644682505755704,176,1,240,0.23338015436341908,False,True,True,True,0.341641,0.077193,0.242399,0.263331,1.5496
212,c_tpe_aug,small,8,0.06520552188158035,0.10091128945350647,da7592f45dbe5b0d,0.005878679092456019,16,1,256,0.0204395958484348,False,True,True,True,0.330695,0.023026,0.11311,0.15392,1.551
212,c_tpe_aug,small,9,0.0593438521027565,0.08714453130960464,8882871c785448ca,0.0008933948320060755,208,2,208,0.3473167301239617,True,False,True,False,0.077478,0.490188,0.364473,0.35591,2.4592
212,c_tpe_aug,small,10,0.061121102422475815,0.0969264954328537,c8f80e11a51e472f,0.04263162270910015,144,1,64,0.7714024522346425,False,True,True,True,0.367457,0.123865,0.135218,0.153698,2.1417
