site,group,space,trial,objective,test_mse_median,hash,learning_rate,hidden_dim,num_layers,out_channels,dropout,use_mixup,use_mixup_phys,use_mixup_temporal,use_jitter,sigma_mixup,sigma_phys,sigma_temporal,sigma_jitter,augmentation_factor
212,d_tpe_noaug,small,1,0.06355447322130203,0.0893072858452797,4e583061adb120be,0.0005753773794117186,176,1,240,0.24369101533869655,False,False,False,False,0.01,0.01,0.01,0.01,1.0
212,d_tpe_noaug,small,2,0.3423111140727997,0.3568181097507477,c71e146a31ed258f,2.8771223716237883e-05,208,2,208,0.6523691427638674,False,False,False,False,0.01,0.01,0.01,0.01,1.0
212,d_tpe_noaug,small,3,0.05690736696124077,0.06755875051021576,31c6686a40ace6a1,0.0209653180944535,224,2,176,0.23180116233101444,False,False,False,False,0.01,0.01,0.01,0.01,1.0
212,d_tpe_noaug,small,4,0.5263258814811707,0.5491956472396851,83a7871780a02c08,5.722344407174143e-05,16,2,144,0.4021432185830892,False,False,False,False,0.01,0.01,0.01,0.01,1.0
212,d_tpe_noaug,small,5,0.4566988945007324,0.47493937611579895,629129ad292a47bc,1.7454085858813002e-05,96,1,176,0.2063533021721245,False,False,False,False,0.01,0.01,0.01,0.01,1.0
212,d_tpe_noaug,small,6,0.5699691772460938,0.5453767776489258,6851ed3953241f22,0.20979553837442622,224,3,16,0.018223574158023642,False,False,False,False,0.01,0.01,0.01,0.01,1.0
212,d_tpe_noaug,small,7,0.565512478351593,0.5392205715179443,7500ff23d3f6ac35,0.05881838802344248,224,2,176,0.5444586521575319,False,False,False,False,0.01,0.01,0.01,0.01,1.0
212,d_tpe_noaug,small,8,0.08808989077806473,0.11484380066394806,d3c2130c944211b3,0.015384885214562652,160,3,32,0.037706464949664675,False,False,False,False,0.01,0.01,0.01,0.01,1.0
212,d_tpe_noaug,small,9,0.06416576355695724,0.08387120068073273,365ae22ba084c3e9,0.0031654160714069224,240,2,64,0.3100753632511688,False,False,False,False,0.01,0.01,0.01,0.01,1.0
212,d_tpe_noaug,small,10,0.07839120179414749,0.10568290948867798,50b69dcdbbad404b,0.0011798713915853135,80,2,96,0.7770937470127272,False,False,False,False,0.01,0.01,0.01,0.01,1.0
