site,group,space,trial,objective,test_mse_median,hash,learning_rate,hidden_dim,num_layers,out_channels,dropout,use_mixup,use_mixup_phys,use_mixup_temporal,use_jitter,sigma_mixup,sigma_phys,sigma_temporal,sigma_jitter,augmentation_factor
213,h_hebo_aug,small,1,0.5850363373756409,0.5340702533721924,2d98ccd67cfb88af,0.4987567067146301,48,3,112,0.42265769839286804,False,False,True,False,0.312672,0.406946,0.114022,0.028834,2.8227
213,h_hebo_aug,small,2,0.5541179180145264,0.5127488374710083,da80eb923b44ab92,0.05406401678919792,240,2,224,0.2792854309082031,True,True,False,True,0.091074,0.21398,0.318084,0.487752,1.6922
213,h_hebo_aug,small,3,0.5832611918449402,0.5346091985702515,08a59377807fb667,0.18932810425758362,112,2,64,0.11125998944044113,True,False,False,True,0.176671,0.061723,0.488881,0.171072,2.4308
213,h_hebo_aug,small,4,0.5945126414299011,0.5385566353797913,436f07f569b841ec,0.2580527067184448,160,1,192,0.7922543287277222,False,True,True,False,0.445282,0.375513,0.217894,0.324697,2.0607
213,h_hebo_aug,small,5,0.5836483240127563,0.5337525010108948,ba29c8207e210706,0.3245227038860321,96,2,144,0.6090475916862488,False,False,False,True,0.029548,0.11284,0.167164,0.247058,1.6338
213,h_hebo_aug,small,6,0.5865784883499146,0.5350000858306885,036327d9fea838b6,0.13055747747421265,192,3,32,0.09055475145578384,True,True,True,False,0.374243,0.286172,0.386485,0.277184,2.7636
213,h_hebo_aug,small,7,0.2785147428512573,0.2651577293872833,5c0c4f8d7ed642f0,0.11246997117996216,64,1,224,0.31952333450317383,True,False,True,False,0.383278,0.442317,0.313292,0.083047,2.1194
213,h_hebo_aug,small,8,0.6782549023628235,0.6331908106803894,7ca933614a90face,0.43241018056869507,192,2,96,0.5753940939903259,False,True,False,True,0.23872,0.140505,0.02694,0.420379,2.4889
213,h_hebo_aug,small,9,0.4078996777534485,0.45906251668930054,02b988da6b9d5266,0.3822706341743469,128,1,32,0.2324233055114746,False,False,False,True,0.492173,0.190346,0.075375,0.295926,2.188
213,h_hebo_aug,small,10,0.37440165877342224,0.33927246928215027,75431825f007f2ba,0.07673536986112595,144,2,160,0.4640510678291321,True,True,True,False,0.16231,0.49195,0.355566,0.203671,2.5552
