site,group,space,trial,objective,test_mse_median,hash,learning_rate,hidden_dim,num_layers,out_channels,dropout,use_mixup,use_mixup_phys,use_mixup_temporal,use_jitter,sigma_mixup,sigma_phys,sigma_temporal,sigma_jitter,augmentation_factor
212,i_dehb_aug,small,1,0.2897282838821411,0.3157384991645813,91808d5df120a1ae,3.47762498395064e-05,160,1,176,0.17905099034689487,True,False,False,False,0.020449,0.16887,0.139488,0.047789,1.8991
212,i_dehb_aug,small,2,0.06439647078514099,0.11355343461036682,eae0cd946bc8e24e,0.029672307384334917,192,2,80,0.28328662147070577,False,False,True,False,0.13758,0.059388,0.209,0.362838,1.557
212,i_dehb_aug,small,3,0.05933424085378647,0.0843077078461647,078a5aee4a677fcc,0.021602792234301487,80,1,128,0.11575518552030317,True,True,False,False,0.107283,0.110379,0.217794,0.256093,2.3143
212,i_dehb_aug,small,4,0.5659244656562805,0.5426288843154907,348e7e9a29923394,0.43033425691074756,80,2,160,0.2565543140397103,True,False,False,False,0.01,0.01,0.01,0.01,1.5
212,i_dehb_aug,small,5,0.5744209289550781,0.5905412435531616,8c10e5caad971edf,1.813179402163745e-05,64,1,64,0.34032338185567756,False,True,True,False,0.166297,0.297772,0.119068,0.072345,2.4849
212,i_dehb_aug,small,6,0.06190972402691841,0.08150435984134674,a5190a5c75c4c9b9,0.021602792234301487,176,2,128,0.11575518552030317,True,False,False,True,0.401261,0.110379,0.01,0.256093,2.3143
212,i_dehb_aug,small,7,0.060068532824516296,0.08503811061382294,7a509874717c0439,0.029672307384334917,192,2,128,0.11575518552030317,True,False,False,False,0.107283,0.110379,0.217794,0.107589,2.3143
212,i_dehb_aug,small,8,0.0676330029964447,0.09500863403081894,b9fecfaed1075a7e,0.021602792234301487,96,2,128,0.11575518552030317,True,True,False,False,0.107283,0.110379,0.01,0.256093,2.152
212,i_dehb_aug,small,9,0.16469843685626984,0.18667402863502502,9684fdd9ad311601,0.11302315462205065,80,1,128,0.11575518552030317,True,True,False,True,0.107283,0.110379,0.217794,0.256093,2.152
212,i_dehb_aug,small,10,0.08022277057170868,0.10346413403749466,a6ee303a7dea9985,0.021602792234301487,80,3,128,0.705530090418445,True,True,False,False,0.107283,0.110379,0.217794,0.256093,2.3143
