site,scale,config,seed,ep,val_mse,test_mse
212,0.15,default,42,15,0.122817762196064,0.1084064468741417
212,0.15,default,123,15,0.07369817793369293,0.08052888512611389
212,0.15,default,456,15,0.08291301876306534,0.08367358148097992
212,0.15,default,789,15,0.11922767013311386,0.10419974476099014
212,0.15,default,2026,15,0.17260253429412842,0.10767199099063873
212,0.15,default,11,15,0.14070728421211243,0.129999041557312
212,0.15,default,22,15,0.1315828263759613,0.09518159925937653
212,0.15,default,33,15,0.12878194451332092,0.10623370856046677
212,0.15,default,44,15,0.07724199444055557,0.058554936200380325
212,0.15,default,55,15,0.08514236658811569,0.09048344194889069
212,0.15,cand_mid,42,15,0.0794062465429306,0.08292269706726074
212,0.15,cand_mid,123,15,0.07154785096645355,0.05694165825843811
212,0.15,cand_mid,456,15,0.10586407035589218,0.08836577832698822
212,0.15,cand_mid,789,15,0.10864871740341187,0.10333318263292313
212,0.15,cand_mid,2026,15,0.11215917021036148,0.08422288298606873
212,0.15,cand_mid,11,15,0.11036493629217148,0.08242323994636536
212,0.15,cand_mid,22,15,0.12424581497907639,0.07804951816797256
212,0.15,cand_mid,33,15,0.07882227003574371,0.06296689063310623
212,0.15,cand_mid,44,15,0.10346060246229172,0.09419777989387512
212,0.15,cand_mid,55,15,0.08469676226377487,0.07152143120765686
212,0.15,cand_big,42,15,0.0915805771946907,0.05374589562416077
212,0.15,cand_big,123,15,0.06867855042219162,0.04305537790060043
212,0.15,cand_big,456,15,0.08687479048967361,0.054280396550893784
212,0.15,cand_big,789,15,0.0809546709060669,0.05401812493801117
212,0.15,cand_big,2026,15,0.07804949581623077,0.05147317796945572
212,0.15,cand_big,11,15,0.09205383062362671,0.05494273453950882
212,0.15,cand_big,22,15,0.09562920033931732,0.06235462799668312
212,0.15,cand_big,33,15,0.1062263771891594,0.06445734202861786
212,0.15,cand_big,44,15,0.08956193923950195,0.058549635112285614
212,0.15,cand_big,55,15,0.08890978991985321,0.06361936777830124
212,0.15,cand_wide,42,15,0.11539509147405624,0.07414714992046356
212,0.15,cand_wide,123,15,0.0709209144115448,0.05601375922560692
212,0.15,cand_wide,456,15,0.08713951706886292,0.071900874376297
212,0.15,cand_wide,789,15,0.08081342279911041,0.07806640863418579
212,0.15,cand_wide,2026,15,0.09335556626319885,0.06725941598415375
212,0.15,cand_wide,11,15,0.0881413072347641,0.07710519433021545
212,0.15,cand_wide,22,15,0.10019319504499435,0.08402147144079208
212,0.15,cand_wide,33,15,0.09122465550899506,0.06665578484535217
212,0.15,cand_wide,44,15,0.08275577425956726,0.06934906542301178
212,0.15,cand_wide,55,15,0.07149781286716461,0.06826821714639664
212,0.25,default,42,64,0.07089745253324509,0.09050001949071884
212,0.25,default,123,64,0.06657912582159042,0.09169962257146835
212,0.25,default,456,64,0.07912568747997284,0.09157247096300125
212,0.25,default,789,64,0.06112802401185036,0.07690316438674927
212,0.25,default,2026,64,0.0835217759013176,0.11499477177858353
212,0.25,default,11,64,0.06950288265943527,0.09499847143888474
212,0.25,default,22,64,0.06677530705928802,0.09170392155647278
212,0.25,default,33,64,0.07038716971874237,0.10246490687131882
