site,scale,config,seed,ep,val_mse,test_mse
213,0.15,none,42,16,0.17902064323425293,0.12408890575170517
213,0.15,none,123,16,0.10503330081701279,0.061449844390153885
213,0.15,none,456,16,0.11471977084875107,0.08828189969062805
213,0.15,none,789,16,0.1266762763261795,0.08532215654850006
213,0.15,none,2026,16,0.16067492961883545,0.0962856188416481
213,0.15,none,11,16,0.15172231197357178,0.09816337376832962
213,0.15,none,22,16,0.1213434487581253,0.07535753399133682
213,0.15,none,33,16,0.10488453507423401,0.07600370049476624
213,0.15,none,44,16,0.10823428630828857,0.05202517658472061
213,0.15,none,55,16,0.09218167513608932,0.07856148481369019
213,0.15,mixup_s05_f3,42,16,0.12666085362434387,0.08773893862962723
213,0.15,mixup_s05_f3,123,16,0.11163172125816345,0.06669057160615921
213,0.15,mixup_s05_f3,456,16,0.11876212805509567,0.09041779488325119
213,0.15,mixup_s05_f3,789,16,0.13066881895065308,0.07788833975791931
213,0.15,mixup_s05_f3,2026,16,0.1644367277622223,0.0836658924818039
213,0.15,mixup_s05_f3,11,16,0.14371991157531738,0.09707802534103394
213,0.15,mixup_s05_f3,22,16,0.11987068504095078,0.06823796778917313
213,0.15,mixup_s05_f3,33,16,0.1112583801150322,0.07215433567762375
213,0.15,mixup_s05_f3,44,16,0.10651715099811554,0.055575426667928696
213,0.15,mixup_s05_f3,55,16,0.09402452409267426,0.08444932848215103
213,0.25,none,42,60,0.06497631222009659,0.10012057423591614
213,0.25,none,123,60,0.0673837959766388,0.0999632179737091
213,0.25,none,456,60,0.07796463370323181,0.09447664022445679
213,0.25,none,789,60,0.053106095641851425,0.08493994176387787
213,0.25,none,2026,60,0.07841051369905472,0.11046190559864044
213,0.25,none,11,60,0.06730569899082184,0.09918022155761719
213,0.25,none,22,60,0.06923621892929077,0.09103232622146606
213,0.25,none,33,60,0.07565750926733017,0.10619419813156128
213,0.25,none,44,60,0.06700477004051208,0.08427557349205017
213,0.25,none,55,60,0.06966617703437805,0.10013693571090698
213,0.25,mixup_s05_f3,42,60,0.04533654451370239,0.0856214389204979
213,0.25,mixup_s05_f3,123,60,0.05227844789624214,0.08165527135133743
213,0.25,mixup_s05_f3,456,60,0.05585933476686478,0.08713943511247635
213,0.25,mixup_s05_f3,789,60,0.033424194902181625,0.07444202899932861
213,0.25,mixup_s05_f3,2026,60,0.050063733011484146,0.08462341874837875
213,0.25,mixup_s05_f3,11,60,0.04483327642083168,0.07278048992156982
213,0.25,mixup_s05_f3,22,60,0.04647447541356087,0.08031383901834488
213,0.25,mixup_s05_f3,33,60,0.0490037202835083,0.0823926031589508
213,0.25,mixup_s05_f3,44,60,0.055058419704437256,0.08860566467046738
213,0.25,mixup_s05_f3,55,60,0.05987360700964928,0.0840020552277565
213,0.5,none,42,46,0.10945048928260803,0.1330476850271225
213,0.5,none,123,46,0.1025996282696724,0.12452705204486847
213,0.5,none,456,46,0.1047438457608223,0.12313097715377808
213,0.5,none,789,46,0.10574989020824432,0.1263587772846222
213,0.5,none,2026,46,0.1086747944355011,0.11749865859746933
213,0.5,none,11,46,0.11339250206947327,0.1344967633485794
213,0.5,none,22,46,0.10292430967092514,0.11838969588279724
213,0.5,none,33,46,0.10321220755577087,0.1276102513074875
213,0.5,none,44,46,0.09969180077314377,0.12033125758171082
213,0.5,none,55,46,0.10637115687131882,0.11622733622789383
213,0.5,mixup_s05_f3,42,46,0.087625652551651,0.11876047402620316
213,0.5,mixup_s05_f3,123,46,0.08623117953538895,0.13290254771709442
213,0.5,mixup_s05_f3,456,46,0.08295499533414841,0.13978300988674164
213,0.5,mixup_s05_f3,789,46,0.07617659866809845,0.10938701778650284
213,0.5,mixup_s05_f3,2026,46,0.09760700166225433,0.13135011494159698
213,0.5,mixup_s05_f3,11,46,0.09762085229158401,0.13658976554870605
213,0.5,mixup_s05_f3,22,46,0.09961344301700592,0.11460957676172256
213,0.5,mixup_s05_f3,33,46,0.08551102131605148,0.13714933395385742
213,0.5,mixup_s05_f3,44,46,0.09066428989171982,0.1179712563753128
213,0.5,mixup_s05_f3,55,46,0.0938994288444519,0.1103873997926712
213,1.0,none,42,12,0.16075129806995392,0.16953511536121368
213,1.0,none,123,12,0.15624722838401794,0.15093746781349182
213,1.0,none,456,12,0.1473115086555481,0.15866227447986603
213,1.0,none,789,12,0.1514609456062317,0.15611012279987335
213,1.0,none,2026,12,0.1561160683631897,0.14862868189811707
213,1.0,none,11,12,0.14419867098331451,0.14489726722240448
213,1.0,none,22,12,0.15683001279830933,0.16659757494926453
213,1.0,none,33,12,0.16035966575145721,0.15022212266921997
213,1.0,none,44,12,0.1534108817577362,0.15204255282878876
213,1.0,none,55,12,0.15562951564788818,0.15320490300655365
213,1.0,mixup_s05_f3,42,12,0.1722116470336914,0.1396918147802353
213,1.0,mixup_s05_f3,123,12,0.1472984254360199,0.14892248809337616
213,1.0,mixup_s05_f3,456,12,0.1619158834218979,0.1496933102607727
213,1.0,mixup_s05_f3,789,12,0.15705688297748566,0.14427340030670166
213,1.0,mixup_s05_f3,2026,12,0.16133248805999756,0.1587413251399994
213,1.0,mixup_s05_f3,11,12,0.1607653647661209,0.14490753412246704
213,1.0,mixup_s05_f3,22,12,0.15383419394493103,0.1403975933790207
213,1.0,mixup_s05_f3,33,12,0.1611664891242981,0.14733481407165527
213,1.0,mixup_s05_f3,44,12,0.1427098661661148,0.14981134235858917
213,1.0,mixup_s05_f3,55,12,0.15208616852760315,0.14764994382858276
